income,family_size,previous_claims,benefits_received,loan_default,property_owned,age,aadhar_linked_accounts,phone_linked_accounts,rural_flag,location_changes,application_frequency,same_bank_accounts,ip_application_count
72437,2,1,1,0,0,28,1,1,0,3,0,1,2
15000,3,2,2,0,1,37,3,1,1,1,0,1,2
47105,3,3,3,1,0,35,1,1,0,1,5,0,4
15000,4,7,4,0,0,40,2,1,1,1,3,0,2
15000,3,0,0,1,0,56,3,2,0,1,7,1,3
15743,3,2,2,1,0,18,4,2,1,1,6,0,4
89307,3,1,1,1,0,28,1,2,0,0,3,0,4
41362,6,1,1,0,0,27,2,3,0,2,0,2,3
124943,3,1,1,0,0,49,3,3,1,1,5,1,0
126878,5,0,0,0,0,22,2,1,0,0,0,0,0
15000,6,1,1,0,0,18,1,1,0,1,2,0,1
52264,5,6,5,0,0,28,2,1,1,0,2,0,4
161045,5,0,0,0,0,25,3,1,1,0,1,1,0
23808,4,0,0,0,1,47,2,3,1,1,1,1,0
42810,4,1,1,1,0,33,3,1,0,1,4,0,4
28479,5,0,0,1,0,56,1,1,0,1,4,1,4
73694,9,0,0,0,0,26,1,2,0,0,2,0,0
20177,6,2,1,0,1,28,2,2,0,2,2,0,2
32907,5,0,0,0,1,51,1,4,0,1,0,2,3
48344,2,0,0,1,1,27,3,2,1,1,2,1,3
15000,2,0,0,0,0,34,3,1,0,0,1,2,1
15000,4,1,1,0,1,40,2,2,0,0,2,1,3
18261,9,1,1,1,0,51,2,1,0,3,2,2,6
45313,3,0,0,0,1,46,2,1,0,0,0,2,2
51942,3,2,1,1,1,23,5,2,0,0,3,0,6
16313,1,1,1,1,0,29,4,3,1,3,4,0,6
47362,3,4,3,0,2,40,3,4,0,2,3,0,0
15000,6,0,0,1,0,44,2,2,1,0,6,2,4
15000,3,1,1,0,0,47,2,1,1,1,1,1,0
34178,2,1,1,0,0,48,1,3,0,0,3,0,2
30757,9,0,0,0,0,18,3,1,0,0,2,1,1
23153,3,1,1,0,0,65,2,3,0,0,2,1,1
24178,3,3,1,1,0,36,1,1,0,3,4,0,7
24675,3,0,0,1,0,39,2,1,0,1,1,0,2
54695,5,2,2,0,1,35,2,1,1,0,1,1,2
46796,3,0,0,1,0,60,4,3,0,0,2,0,3
44796,3,1,1,1,0,50,2,2,0,0,1,0,1
111041,2,2,1,0,1,70,1,1,0,2,0,1,2
15000,9,1,1,1,0,30,1,1,1,0,3,0,2
29524,3,4,1,1,0,57,1,1,0,3,2,3,7
56064,2,1,1,0,0,48,1,3,0,1,2,2,0
64104,3,1,1,1,1,48,2,1,1,3,4,1,4
17544,5,1,1,0,0,38,2,2,0,1,2,2,2
122273,6,1,1,0,1,58,1,2,0,0,1,0,0
73744,7,0,0,0,1,47,2,2,1,1,2,3,0
95550,2,0,0,0,1,20,3,3,1,1,1,0,1
52905,4,2,2,0,0,18,4,2,0,0,0,1,2
31917,3,0,0,1,0,29,3,3,1,1,2,1,6
208979,4,0,0,1,1,22,2,3,0,2,2,0,3
18808,1,1,1,1,0,51,1,2,0,0,1,0,3
65052,3,3,3,0,1,32,1,3,1,1,0,1,3
56391,2,0,0,0,0,33,2,3,1,0,1,3,0
15000,6,1,1,0,0,37,2,2,0,0,1,1,1
76651,5,2,2,0,0,34,2,1,1,0,3,1,1
27920,3,0,0,0,0,45,2,1,1,1,1,0,0
30502,3,1,1,1,0,18,1,1,0,3,5,1,3
79593,4,1,1,0,0,29,1,1,1,3,4,1,0
20040,4,2,1,0,0,28,2,4,0,0,3,2,0
67149,6,3,3,1,0,55,1,3,1,2,5,1,2
18618,2,5,3,1,1,63,4,4,0,4,9,1,6
70163,2,0,0,0,0,37,1,3,0,1,1,3,4
29949,5,5,2,0,0,19,2,1,0,0,4,1,2
25607,4,2,2,1,1,37,5,4,1,2,2,0,7
53622,3,5,2,1,0,45,1,1,0,3,10,0,3
15000,6,1,1,0,0,26,3,1,0,2,2,0,2
138051,4,0,0,0,0,67,2,1,1,0,0,1,1
22583,5,2,1,1,1,26,1,1,1,2,8,1,5
61105,3,2,1,0,0,19,3,2,0,0,2,0,0
29156,2,4,1,1,0,40,3,1,0,1,9,1,1
15000,5,3,1,1,0,33,2,1,0,1,7,1,3
51067,6,6,3,0,0,35,2,1,0,1,4,1,0
20683,3,2,1,0,0,49,1,1,0,3,4,3,1
50208,2,1,1,1,1,37,1,2,0,0,2,1,5
33080,5,1,1,1,0,29,2,2,0,1,5,0,2
15000,7,0,0,0,1,44,1,1,0,1,3,2,2
35596,5,1,1,0,1,63,3,3,1,1,2,1,2
84760,2,4,4,0,0,44,1,1,1,0,1,2,2
54162,7,1,1,0,0,43,2,2,0,1,0,1,3
69444,5,3,1,1,0,34,3,2,0,3,6,0,2
79470,1,1,1,0,1,25,2,2,0,3,2,3,2
29226,6,3,2,0,2,39,1,2,1,2,3,2,5
53045,2,2,1,1,0,26,2,2,1,3,5,1,4
18915,3,2,2,1,0,27,2,1,0,1,4,2,4
17742,5,0,0,0,0,33,3,1,1,0,1,2,0
295562,4,2,2,0,2,24,3,1,0,1,0,0,2
26055,1,1,1,0,0,18,1,1,0,0,0,1,0
61754,4,6,2,0,0,43,3,1,1,2,3,1,4
61158,4,0,0,0,0,24,3,2,1,0,2,2,2
85767,5,0,0,0,0,56,3,2,1,2,2,1,1
16477,3,1,1,1,0,49,1,1,0,2,2,2,7
18884,5,0,0,0,0,30,1,2,0,2,0,0,2
48036,1,2,2,0,0,19,1,2,0,1,1,2,7
35934,4,1,1,1,0,35,4,3,0,2,1,0,3
37350,1,5,5,1,1,24,2,4,0,3,9,2,6
174568,5,2,2,1,0,38,2,3,0,1,2,2,2
31466,4,2,2,0,0,22,2,1,0,0,3,1,0
19035,4,4,4,0,0,36,2,2,0,2,3,0,5
18843,3,2,2,1,1,18,1,1,1,0,3,0,5
22244,3,0,0,0,0,50,1,1,0,1,0,2,0
73493,2,0,0,1,0,33,1,2,0,1,2,1,2
15000,6,0,0,0,0,33,2,2,0,0,3,1,3
34922,5,1,1,1,0,21,3,1,0,2,3,3,5
15000,5,0,0,0,0,48,1,1,1,0,0,2,0
15004,3,3,3,1,1,40,2,2,0,2,7,0,4
40687,7,3,1,0,0,44,2,2,0,0,5,2,0
40660,4,4,2,0,0,18,1,2,0,1,5,1,2
43472,4,0,0,1,0,43,2,2,0,0,5,1,2
15000,3,0,0,1,0,30,2,2,1,1,4,2,5
21346,2,1,1,0,1,48,5,2,0,2,0,0,2
21687,7,0,0,0,0,18,1,3,0,1,0,0,0
88034,3,2,1,0,2,36,1,2,1,0,1,1,1
48146,4,0,0,0,0,31,1,2,0,0,0,0,2
71807,7,3,2,0,0,53,2,1,1,2,2,0,1
15000,6,3,3,1,0,43,2,1,0,0,8,0,2
56683,3,2,2,0,1,21,1,3,0,1,0,1,0
25527,7,2,2,0,0,50,3,3,0,0,2,0,2
35544,3,0,0,0,0,31,5,2,1,1,1,1,2
64323,3,3,1,1,0,18,3,4,1,2,3,1,2
39310,5,0,0,1,0,19,4,1,0,0,1,0,3
30468,5,1,1,0,0,36,3,2,1,0,2,2,1
46373,3,4,2,1,0,18,1,1,0,0,10,3,1
101304,2,5,2,1,0,51,1,1,0,2,5,0,2
24665,1,3,1,1,0,30,1,1,1,1,3,2,6
32984,2,1,1,0,0,38,3,1,1,1,0,1,0
20743,3,0,0,0,0,25,1,1,0,1,0,1,4
54250,3,0,0,1,0,60,4,2,0,1,2,2,6
20141,2,2,2,1,0,33,3,2,0,2,4,3,8
15000,3,1,1,0,0,59,3,1,1,3,1,2,0
16952,5,0,0,1,1,29,1,4,0,2,5,0,6
85674,1,2,2,0,0,41,2,1,0,0,0,1,2
63039,5,1,1,0,0,51,3,1,0,1,0,0,1
49072,2,4,1,0,0,41,2,2,0,5,0,0,4
17611,5,2,1,0,0,52,3,3,0,1,3,0,1
57940,2,0,0,0,0,18,3,3,0,1,1,1,2
15000,2,3,2,0,0,37,2,3,0,3,3,1,2
145166,5,3,3,0,0,46,2,2,0,0,0,0,1
27196,2,5,3,1,0,42,2,2,1,0,2,1,3
175727,3,1,1,1,0,37,3,3,0,2,4,0,2
15976,5,1,1,0,1,52,2,3,0,0,0,1,1
31410,4,0,0,0,0,32,5,1,1,0,1,2,1
20594,4,0,0,1,2,61,4,1,1,1,3,0,3
205262,6,2,1,1,0,52,1,2,0,2,5,1,4
15000,2,2,1,0,1,25,1,2,1,0,2,3,1
21163,3,2,1,1,0,33,1,1,0,4,3,0,4
56946,2,1,1,0,0,33,2,1,1,3,2,1,0
51271,3,2,2,1,0,30,2,1,0,2,2,1,5
195426,1,5,1,1,0,45,1,1,1,0,7,1,1
91388,3,1,1,0,0,54,1,1,0,0,0,3,2
15000,2,0,0,0,0,31,2,2,0,0,1,0,0
54294,6,0,0,0,0,33,2,4,0,0,1,2,1
51421,6,0,0,0,0,43,1,1,1,0,1,3,0
16772,2,0,0,1,4,57,1,2,0,1,3,0,4
95200,4,0,0,0,0,30,2,2,0,1,1,0,2
15000,5,0,0,0,0,37,4,1,0,0,0,1,1
78175,2,0,0,0,1,38,3,2,0,1,3,0,0
18914,4,2,2,1,0,25,3,1,1,3,0,0,6
149808,5,3,3,0,1,43,5,2,1,0,1,0,1
24857,6,1,1,1,0,33,1,2,0,1,5,1,7
36966,3,1,1,1,0,20,2,1,1,1,6,0,3
16449,3,1,1,0,1,37,1,3,1,2,3,1,2
80168,6,0,0,0,1,30,2,2,1,2,1,2,2
34483,2,2,1,1,0,38,1,1,0,3,8,1,4
15312,2,1,1,1,1,23,2,2,0,1,5,0,3
21229,3,1,1,1,0,36,3,2,0,1,5,0,6
88517,4,4,2,1,0,18,4,3,0,1,2,2,3
113901,5,0,0,1,0,20,5,1,0,0,1,0,7
30639,9,1,1,0,2,56,2,4,0,1,2,1,1
80939,1,1,1,0,0,32,1,1,0,0,1,1,1
35855,3,0,0,1,1,48,1,1,1,0,2,1,1
41975,2,5,3,1,1,53,2,1,0,1,5,1,7
53228,3,2,1,0,0,50,1,1,0,1,3,0,0
56717,2,3,1,0,0,36,2,1,0,2,5,3,6
15000,3,5,2,0,0,41,4,2,0,3,4,0,1
88459,5,1,1,0,0,40,1,2,1,0,1,2,1
23620,2,2,2,1,0,50,2,2,1,3,4,0,6
65849,7,1,1,1,0,28,4,1,0,1,7,1,6
138034,4,2,2,0,0,26,2,2,1,0,0,1,1
18484,4,1,1,0,0,34,3,1,0,2,3,0,0
15000,3,0,0,1,0,23,3,3,0,1,5,0,4
196786,3,4,1,0,2,54,2,1,1,2,1,0,3
58158,5,5,4,0,0,36,2,3,0,0,3,0,3
18630,3,1,1,1,0,45,1,1,1,0,3,1,5
15000,5,3,1,1,0,28,1,3,0,0,5,1,3
20495,4,3,2,0,0,30,1,1,0,0,2,1,1
24000,3,2,2,0,0,36,1,2,1,1,4,0,3
21619,2,0,0,0,0,28,1,1,0,0,0,0,0
38814,2,3,2,1,0,19,4,1,0,1,6,2,5
42254,5,1,1,0,0,41,3,1,0,0,1,1,1
28795,5,1,1,1,0,33,1,1,0,3,4,2,10
61052,2,1,1,0,0,47,1,4,0,1,3,2,0
90837,3,2,1,0,0,28,1,3,0,0,1,1,0
152826,1,1,1,0,1,47,1,2,0,0,1,2,2
91801,4,1,1,0,0,38,2,1,0,1,3,3,1
28254,2,0,0,1,1,43,2,2,0,2,4,0,3
15000,2,1,1,0,0,31,1,2,0,1,3,0,0
27427,7,1,1,0,0,22,2,1,0,1,2,1,4
79080,3,1,1,0,0,39,4,3,0,1,2,2,1
34010,5,1,1,1,0,51,1,2,0,3,3,1,7
34162,2,0,0,0,0,36,2,1,0,2,1,0,0
41852,5,1,1,0,0,18,1,2,0,0,0,0,0
96164,2,2,1,1,0,38,2,3,0,2,2,2,8
172936,3,2,2,0,0,41,3,1,1,1,2,2,2
95001,3,0,0,0,1,45,2,1,1,0,1,1,2
49787,5,0,0,0,0,35,2,1,0,0,1,2,0
68838,1,1,1,1,0,49,3,3,1,1,3,0,2
15141,3,2,2,0,0,43,2,1,1,2,2,2,3
66422,2,3,1,1,0,40,1,2,0,1,3,0,4
171742,3,1,1,0,0,18,1,2,0,0,3,1,1
22255,6,0,0,0,1,47,1,1,1,0,1,0,1
189207,3,4,4,1,2,41,1,1,0,0,3,2,5
15000,10,0,0,1,0,52,4,1,0,5,3,1,8
15572,7,2,2,0,0,18,4,1,0,4,2,1,2
51190,8,6,3,0,0,29,2,3,0,1,5,3,2
30638,3,1,1,0,0,52,3,2,0,0,0,0,0
91102,1,0,0,1,0,41,3,1,1,0,2,1,5
71686,8,2,2,0,0,43,1,2,0,0,1,1,2
33573,1,1,1,0,0,40,4,1,0,2,1,1,0
21191,5,0,0,0,1,30,1,3,0,0,2,0,2
31986,3,4,1,0,0,53,2,3,0,0,5,1,0
107674,2,0,0,0,0,33,1,1,1,0,2,1,1
83042,3,0,0,1,0,55,3,2,1,2,7,1,9
48833,3,0,0,1,0,45,4,2,1,1,1,0,5
17728,1,4,3,1,0,40,1,3,0,0,3,1,3
41284,3,3,2,1,0,58,1,1,1,3,4,0,8
22228,3,1,1,0,1,40,3,1,0,1,2,1,1
27553,3,2,2,0,0,43,3,4,0,0,3,1,2
15000,5,2,1,1,0,39,2,1,1,2,4,2,5
36109,4,2,1,1,2,40,2,2,1,1,4,2,6
29725,4,4,2,1,0,36,2,2,1,0,6,1,6
15000,9,1,1,0,0,28,2,1,1,0,1,0,0
15000,1,2,1,0,0,23,5,2,0,1,0,1,2
38218,1,0,0,0,0,24,2,1,1,0,1,1,1
15000,8,0,0,0,0,51,5,2,0,0,0,2,0
40046,3,5,5,0,0,31,2,1,0,3,2,2,3
42390,3,3,3,1,0,30,4,1,0,4,2,3,5
51511,7,2,1,1,0,39,1,2,1,1,4,1,7
86062,4,1,1,0,0,34,3,3,0,0,1,1,0
34423,3,0,0,0,0,55,4,1,0,0,1,0,0
202732,3,1,1,1,1,60,1,1,0,2,1,0,5
27334,6,1,1,1,0,42,1,3,1,0,2,0,9
26831,2,0,0,0,2,39,2,1,0,0,0,1,2
62847,4,3,3,0,0,36,5,2,1,0,1,0,2
16677,5,1,1,0,0,44,1,2,0,2,1,2,1
15000,4,2,2,0,0,35,2,1,1,2,1,0,2
21055,2,0,0,0,0,49,2,2,0,2,0,2,1
19586,7,2,1,1,2,57,1,2,0,3,3,1,3
25032,1,0,0,0,1,52,1,2,0,0,0,1,2
16144,3,2,1,0,0,18,2,2,0,2,2,1,1
34861,4,2,1,0,0,35,5,3,0,1,1,3,0
26680,6,5,2,1,1,48,2,2,1,2,9,3,5
27965,2,2,2,0,0,47,2,1,1,1,2,1,3
17455,3,0,0,1,0,51,1,1,1,2,1,0,7
18283,2,1,1,1,0,36,4,2,0,0,7,3,1
50625,3,1,1,0,2,31,1,3,1,1,1,2,2
42789,2,2,2,1,0,46,1,2,0,4,1,0,6
70435,9,0,0,0,0,50,1,1,0,1,1,2,0
27984,3,1,1,0,1,46,1,3,0,0,0,1,1
37239,9,1,1,0,0,57,1,1,0,0,2,1,3
47455,4,0,0,0,0,55,2,1,0,0,1,1,2
38855,6,8,1,1,0,29,2,2,0,0,10,0,9
49951,2,0,0,0,0,37,3,1,0,0,0,2,0
15509,6,1,1,0,0,18,2,4,1,3,1,1,3
106799,3,1,1,1,1,46,2,4,0,4,3,0,6
38015,3,1,1,0,1,43,2,1,0,2,1,0,0
51630,1,0,0,1,1,18,2,1,1,1,3,1,6
61909,4,2,2,0,0,35,1,2,0,1,0,0,2
82747,5,0,0,0,0,33,1,3,0,0,1,1,2
39566,7,1,1,0,1,25,1,1,1,0,1,1,1
30336,4,1,1,1,0,26,1,3,0,2,3,1,5
35546,6,0,0,1,0,55,3,3,1,2,2,0,3
59254,3,1,1,1,0,18,3,2,0,1,1,0,3
48475,3,2,2,0,0,49,3,2,0,0,2,0,1
57349,3,0,0,0,0,44,2,2,0,0,1,1,0
86935,5,0,0,0,0,34,1,1,1,0,1,0,0
53133,3,1,1,1,0,28,3,3,0,1,2,1,2
35455,2,2,1,0,1,35,1,3,0,0,0,1,3
15000,4,1,1,0,0,29,1,1,1,1,2,0,0
75317,7,6,4,1,0,29,1,1,0,2,3,0,5
108139,7,4,1,1,0,32,3,1,1,1,4,1,1
31188,3,3,3,1,1,20,2,1,0,0,4,1,8
15469,8,0,0,0,1,38,1,3,0,0,1,1,0
143467,5,2,2,1,1,57,2,1,0,1,4,0,4
38170,3,1,1,1,0,28,2,4,0,1,4,0,4
62753,7,0,0,0,0,37,1,2,0,0,2,1,2
19595,3,0,0,0,0,18,2,1,0,0,0,2,2
20783,2,1,1,1,1,26,2,3,0,0,3,0,4
15850,7,1,1,1,0,35,3,1,0,1,2,1,4
31701,3,0,0,0,1,57,2,2,0,2,2,0,0
26138,5,1,1,0,0,50,2,1,0,0,2,2,1
41453,7,3,2,1,0,21,3,1,0,4,6,0,7
15000,1,0,0,0,0,47,2,1,0,0,1,2,0
18109,6,2,1,0,0,51,1,4,1,0,1,0,1
96679,3,1,1,0,0,35,2,2,0,0,1,3,1
84442,4,5,1,1,0,37,1,3,0,4,4,0,5
15000,4,2,1,1,0,38,1,1,0,1,1,1,2
36102,5,1,1,0,0,40,1,1,1,2,4,1,4
29878,5,0,0,1,0,35,1,1,0,0,3,1,3
15000,5,4,4,1,0,36,1,1,1,4,7,0,8
66729,5,1,1,0,0,18,2,2,0,0,2,0,2
26562,4,7,2,1,0,40,2,1,1,3,9,1,6
22896,3,1,1,0,0,29,2,1,0,0,1,1,3
26372,6,6,1,0,0,29,2,1,0,1,4,1,0
132295,6,0,0,0,0,47,2,1,0,0,1,3,1
21418,6,1,1,0,0,50,2,1,1,0,1,2,0
19016,5,7,1,1,0,60,1,1,0,2,6,0,4
17638,3,0,0,0,1,42,4,3,0,0,1,3,1
22714,9,0,0,0,0,35,2,3,0,0,1,2,0
22929,5,0,0,1,0,30,1,3,0,2,1,0,7
15000,5,5,5,1,0,18,1,1,0,1,5,1,3
37738,2,2,2,0,0,51,1,2,0,0,0,1,1
32425,2,6,2,1,0,27,1,1,1,3,4,0,5
15000,3,2,2,0,0,23,1,1,0,1,2,2,1
45153,3,0,0,0,0,27,1,2,1,0,1,2,1
29072,6,3,3,0,0,22,1,1,0,0,1,0,1
53662,3,2,1,0,0,59,3,1,0,1,0,0,5
85483,6,3,3,1,0,40,3,1,0,2,2,2,4
138285,3,5,3,1,2,27,2,1,0,1,9,1,4
57067,5,1,1,0,0,37,2,2,1,1,6,2,1
87899,2,1,1,0,0,33,1,1,1,2,3,3,1
40694,2,2,2,0,0,45,2,2,0,1,4,0,4
62861,2,2,2,0,0,18,1,3,0,1,3,2,1
58784,4,1,1,0,1,31,3,4,0,2,1,1,2
51461,6,3,2,0,0,44,1,3,0,1,4,2,1
40551,5,4,1,1,0,61,1,2,0,0,6,1,3
62649,4,0,0,0,0,28,2,2,0,0,3,0,0
19848,6,2,1,0,1,43,1,1,0,2,3,1,4
232536,4,0,0,0,2,45,1,3,0,0,1,1,2
15403,3,8,5,1,0,53,2,2,0,2,2,0,3
51666,2,2,1,0,0,28,4,1,1,2,0,1,3
43758,7,0,0,0,0,29,1,2,0,0,1,1,1
18122,5,0,0,1,0,50,1,1,0,0,4,1,3
15000,3,0,0,0,0,47,2,2,0,0,0,1,0
86848,6,1,1,0,0,31,1,3,0,0,2,3,0
105039,3,1,1,0,1,64,1,3,0,0,1,0,0
64839,3,0,0,0,0,43,1,1,0,0,0,1,0
15000,3,1,1,0,0,48,2,3,1,1,1,0,1
217658,5,1,1,1,1,26,2,1,0,2,3,0,6
28593,2,0,0,0,0,33,2,1,0,1,0,1,0
227187,5,1,1,0,1,60,1,1,0,1,0,2,0
15000,3,0,0,1,0,26,3,1,0,2,4,0,3
25205,4,4,2,0,1,53,2,2,0,2,2,3,0
15000,4,0,0,0,0,24,1,1,0,1,1,1,0
173997,3,0,0,1,4,48,1,1,0,0,8,0,3
73927,7,0,0,1,0,57,1,1,0,0,3,0,6
24375,5,0,0,1,0,48,4,2,0,2,3,0,4
26178,5,3,3,0,0,39,2,1,0,1,2,1,2
59392,2,2,1,1,0,44,1,2,1,0,6,1,3
32372,8,2,1,0,0,36,1,1,0,1,1,1,2
24114,3,0,0,1,0,44,1,1,0,0,7,2,5
15000,4,0,0,1,0,30,4,1,0,1,6,0,3
15000,5,1,1,1,1,35,3,4,1,2,2,2,3
117066,2,1,1,1,0,36,2,1,0,2,1,1,4
15753,6,0,0,0,0,45,2,3,0,0,2,1,2
123797,2,0,0,1,1,52,5,1,0,0,1,0,0
21233,9,1,1,1,0,24,1,1,0,0,2,0,6
112121,3,5,1,0,0,32,1,1,0,1,4,0,2
63232,3,0,0,1,0,18,2,1,0,1,2,1,5
15000,5,0,0,1,0,26,4,2,0,2,5,1,3
15000,4,2,2,1,1,55,1,3,1,1,1,1,2
71239,5,0,0,0,1,45,3,1,0,0,1,1,4
35817,4,0,0,0,0,33,2,2,1,2,3,3,2
56697,5,0,0,0,0,18,2,2,0,1,0,1,0
15000,3,0,0,1,0,53,2,2,0,0,1,0,4
55066,6,1,1,0,1,37,1,3,0,0,3,0,2
20587,4,2,1,1,0,37,2,1,0,0,4,1,6
19346,8,2,1,0,0,40,2,1,0,0,2,2,1
44975,3,0,0,1,0,41,2,1,0,5,2,0,6
35714,3,0,0,0,0,18,2,2,0,0,1,1,0
15000,9,1,1,0,0,44,1,3,0,1,3,2,0
71784,5,1,1,0,0,51,4,1,0,0,2,0,0
77138,4,3,3,0,1,52,1,3,0,3,2,2,1
15000,3,1,1,0,0,40,1,4,0,0,1,1,1
55080,5,2,1,0,0,25,2,1,0,0,1,1,2
168849,4,1,1,0,0,36,4,1,0,0,2,0,0
83390,2,4,4,0,0,44,2,3,1,1,2,1,1
24934,4,3,1,1,0,40,2,4,0,2,3,3,3
93918,3,0,0,1,0,22,1,1,1,0,4,0,4
15000,1,1,1,0,0,18,3,3,0,0,1,1,0
15000,3,2,1,0,0,24,4,4,0,0,0,0,1
94991,1,2,1,0,0,38,1,1,1,1,6,2,1
101007,4,1,1,0,0,18,4,2,0,0,4,1,2
35725,8,0,0,0,3,45,1,2,0,0,0,0,1
287462,2,1,1,0,4,37,2,1,1,1,2,2,0
22516,7,1,1,0,0,35,1,2,1,2,3,1,5
91559,5,5,4,0,1,50,1,1,0,1,5,0,0
140570,3,1,1,0,0,56,2,2,0,0,0,0,0
