income,employment_status,family_size,education_level,health_condition,housing_type,disaster_risk
35450,informal,8,secondary,1,homeless,medium
106162,employed,7,secondary,0,rented,medium
434318,employed,5,postgraduate,0,permanent,medium
25952,self_employed,4,primary,0,rented,medium
31712,unemployed,7,secondary,0,permanent,low
131163,unemployed,7,secondary,0,permanent,low
319687,employed,3,graduate,0,permanent,medium
144614,employed,4,graduate,1,homeless,medium
410322,employed,2,secondary,0,rented,medium
26453,unemployed,6,primary,1,temporary,low
149433,unemployed,3,graduate,0,homeless,high
47713,unemployed,4,none,0,temporary,high
48873,unemployed,5,secondary,0,temporary,medium
476626,employed,3,postgraduate,0,temporary,medium
89192,employed,4,primary,1,rented,high
458748,informal,2,postgraduate,0,temporary,low
49038,informal,5,primary,0,permanent,medium
148620,employed,4,secondary,1,homeless,medium
382157,self_employed,5,graduate,0,permanent,low
145436,employed,5,graduate,0,permanent,medium
26300,unemployed,5,primary,0,temporary,high
391394,unemployed,3,secondary,0,permanent,low
124659,informal,6,graduate,0,temporary,medium
43112,unemployed,8,secondary,1,rented,high
75509,employed,4,primary,0,temporary,medium
197071,employed,5,graduate,0,rented,low
201773,employed,4,graduate,0,permanent,medium
390119,employed,3,postgraduate,0,permanent,high
36373,employed,5,none,0,homeless,high
37227,unemployed,9,secondary,0,homeless,low
21265,unemployed,10,secondary,1,rented,medium
98028,employed,7,none,0,rented,medium
139973,employed,4,secondary,0,temporary,medium
31772,informal,8,secondary,0,temporary,high
137318,self_employed,4,postgraduate,0,permanent,low
111376,employed,4,postgraduate,1,temporary,high
54083,self_employed,6,secondary,1,temporary,high
40388,informal,4,secondary,1,rented,medium
20002,retired,10,none,1,temporary,medium
402119,employed,3,graduate,0,rented,medium
123202,self_employed,3,secondary,0,permanent,high
31977,informal,6,secondary,1,homeless,high
21541,unemployed,10,secondary,1,homeless,medium
94165,unemployed,7,secondary,1,rented,low
40993,unemployed,6,secondary,1,temporary,low
71365,informal,5,graduate,0,temporary,low
341931,retired,3,graduate,0,permanent,medium
347579,employed,3,graduate,1,permanent,low
244833,self_employed,5,graduate,0,permanent,high
149769,informal,6,postgraduate,0,permanent,medium
297766,employed,4,postgraduate,1,permanent,medium
315364,employed,5,postgraduate,1,permanent,low
179746,employed,2,secondary,1,permanent,medium
152277,employed,5,primary,0,rented,low
56218,retired,6,secondary,1,temporary,high
109942,employed,5,graduate,1,permanent,medium
70771,informal,5,none,1,permanent,high
53173,employed,5,postgraduate,0,rented,medium
59080,employed,6,graduate,1,temporary,high
424906,self_employed,5,postgraduate,0,permanent,medium
5615,self_employed,7,none,1,temporary,high
43507,unemployed,7,secondary,1,temporary,low
155917,employed,4,graduate,1,permanent,low
75976,unemployed,3,postgraduate,1,rented,low
220648,informal,4,graduate,0,permanent,low
456964,self_employed,2,postgraduate,0,permanent,low
135991,unemployed,5,secondary,0,temporary,low
291814,employed,4,postgraduate,0,rented,low
491412,self_employed,2,graduate,0,rented,medium
128395,retired,7,secondary,1,temporary,medium
128188,informal,5,graduate,1,homeless,high
6640,informal,8,primary,1,rented,medium
131891,employed,6,primary,0,temporary,low
20387,self_employed,5,primary,1,homeless,medium
116983,informal,4,postgraduate,1,rented,medium
246664,employed,4,graduate,0,permanent,medium
292589,employed,4,secondary,0,homeless,low
148063,self_employed,2,secondary,0,homeless,low
59382,self_employed,5,secondary,1,temporary,medium
412466,unemployed,3,none,0,rented,medium
169102,unemployed,3,graduate,0,permanent,medium
54896,informal,6,secondary,0,rented,medium
45311,unemployed,10,none,1,temporary,medium
36390,self_employed,7,secondary,1,homeless,high
44865,unemployed,5,primary,1,rented,high
378164,employed,5,secondary,0,rented,low
477927,self_employed,5,graduate,0,permanent,low
52463,employed,5,graduate,0,temporary,low
59511,unemployed,7,primary,1,homeless,high
113608,informal,3,secondary,1,homeless,medium
126972,retired,4,graduate,0,permanent,low
12092,unemployed,8,primary,1,rented,medium
425962,informal,2,graduate,0,permanent,high
54965,unemployed,6,primary,0,temporary,medium
53560,informal,4,primary,1,temporary,high
25423,informal,10,none,1,homeless,high
126089,self_employed,4,graduate,0,permanent,low
38577,unemployed,7,primary,1,rented,high
19451,unemployed,8,primary,0,homeless,medium
251753,employed,2,graduate,0,permanent,low
41616,self_employed,10,primary,1,rented,high
50205,self_employed,7,secondary,0,rented,medium
82568,employed,7,secondary,1,permanent,medium
33552,informal,8,primary,1,rented,high
140044,employed,2,graduate,0,rented,medium
438398,self_employed,3,secondary,0,permanent,medium
139506,employed,5,graduate,0,permanent,low
437112,self_employed,4,postgraduate,0,permanent,high
79691,self_employed,7,primary,0,permanent,medium
59506,unemployed,9,none,1,rented,high
112655,retired,3,secondary,1,rented,medium
59773,retired,6,primary,1,permanent,medium
62617,unemployed,6,none,0,rented,medium
303117,employed,4,postgraduate,0,permanent,medium
41566,informal,6,primary,1,homeless,medium
10341,informal,5,none,1,rented,medium
51454,retired,6,secondary,1,temporary,high
136832,retired,7,primary,1,permanent,high
19037,unemployed,10,secondary,0,temporary,high
153026,employed,2,postgraduate,1,permanent,low
16851,self_employed,10,secondary,1,rented,high
134317,employed,6,graduate,1,rented,high
57993,self_employed,10,primary,1,rented,high
300211,employed,5,postgraduate,1,rented,medium
47020,informal,6,secondary,0,homeless,medium
55011,unemployed,7,none,0,permanent,low
34565,self_employed,4,secondary,1,temporary,high
19715,unemployed,4,none,1,homeless,high
59379,informal,10,primary,1,permanent,high
21772,unemployed,5,secondary,1,rented,high
24736,unemployed,5,secondary,1,rented,high
412863,employed,3,postgraduate,0,temporary,medium
64551,informal,3,secondary,0,homeless,medium
366140,employed,5,postgraduate,0,permanent,medium
86805,self_employed,5,secondary,1,temporary,medium
169945,employed,4,postgraduate,0,rented,low
122802,employed,4,primary,1,permanent,medium
18072,self_employed,6,none,1,homeless,high
54367,informal,6,primary,1,homeless,high
29118,employed,7,graduate,1,temporary,low
105211,employed,7,secondary,0,permanent,medium
194611,employed,4,secondary,0,permanent,low
61842,informal,5,secondary,1,homeless,medium
123816,retired,3,primary,1,permanent,low
44081,unemployed,7,graduate,0,temporary,high
87467,employed,7,primary,0,permanent,medium
50077,informal,7,secondary,0,permanent,low
17192,informal,7,none,0,homeless,medium
45099,unemployed,7,primary,0,temporary,high
51506,self_employed,5,graduate,1,permanent,medium
15322,informal,9,secondary,1,rented,high
14101,unemployed,7,primary,1,temporary,medium
120209,self_employed,3,secondary,1,rented,medium
401413,employed,4,postgraduate,0,permanent,medium
389041,self_employed,3,postgraduate,0,permanent,low
371634,employed,3,secondary,1,permanent,low
77230,self_employed,5,secondary,1,permanent,medium
52245,informal,4,graduate,0,temporary,medium
277009,self_employed,2,postgraduate,0,temporary,low
125344,employed,7,secondary,1,permanent,medium
24798,informal,10,none,1,rented,medium
32238,informal,5,primary,0,homeless,high
281073,retired,3,postgraduate,0,permanent,medium
34464,unemployed,4,primary,1,homeless,high
183728,self_employed,4,graduate,0,homeless,low
360765,unemployed,5,graduate,1,permanent,medium
37433,informal,10,secondary,1,rented,medium
74664,informal,6,secondary,0,rented,high
49637,employed,6,graduate,0,homeless,medium
11336,unemployed,10,none,1,temporary,high
92610,informal,3,primary,1,rented,medium
38784,unemployed,8,primary,1,rented,medium
106494,self_employed,7,secondary,0,permanent,high
12183,retired,8,primary,1,homeless,medium
74803,retired,7,graduate,1,rented,high
121230,self_employed,6,primary,1,temporary,low
6241,employed,7,primary,1,permanent,medium
485790,self_employed,3,graduate,0,homeless,low
62699,employed,7,secondary,0,rented,medium
130873,employed,6,secondary,0,rented,high
256035,self_employed,3,postgraduate,0,permanent,low
478359,employed,2,graduate,0,rented,medium
55663,self_employed,6,primary,1,temporary,low
137955,employed,4,graduate,0,rented,medium
53555,informal,5,primary,1,temporary,high
26646,informal,4,secondary,0,homeless,low
47787,retired,7,secondary,0,homeless,high
140758,unemployed,7,secondary,1,rented,high
319092,self_employed,3,postgraduate,0,rented,low
54086,retired,6,none,0,rented,high
249192,employed,5,postgraduate,0,permanent,medium
273373,employed,5,postgraduate,0,temporary,medium
49197,self_employed,5,secondary,1,permanent,high
31269,informal,5,none,1,homeless,high
98554,self_employed,5,secondary,1,temporary,medium
48142,informal,6,secondary,0,permanent,low
80760,informal,5,secondary,0,homeless,medium
119395,employed,7,postgraduate,1,rented,low
456695,self_employed,2,graduate,0,permanent,low
59314,informal,8,primary,1,temporary,medium
129167,employed,7,secondary,1,permanent,high
32225,informal,4,secondary,1,temporary,high
5197,informal,8,primary,1,rented,high
9523,retired,7,primary,1,homeless,medium
438627,retired,4,none,0,rented,low
129486,retired,7,primary,1,temporary,low
56691,informal,4,graduate,1,homeless,medium
95591,informal,4,secondary,0,permanent,low
54790,unemployed,6,graduate,1,rented,high
43924,unemployed,8,secondary,1,temporary,high
110747,employed,3,primary,1,temporary,low
115690,informal,5,secondary,1,homeless,medium
76064,unemployed,7,postgraduate,1,rented,medium
85143,self_employed,6,graduate,0,permanent,high
138882,informal,4,graduate,0,rented,low
394852,employed,5,graduate,0,permanent,medium
98954,self_employed,3,secondary,1,temporary,medium
45183,self_employed,4,graduate,0,rented,high
26821,unemployed,4,primary,0,rented,medium
227188,self_employed,3,graduate,0,permanent,medium
125029,employed,5,secondary,1,permanent,low
139828,self_employed,4,secondary,0,rented,high
22090,informal,8,secondary,1,temporary,high
149230,employed,7,graduate,1,permanent,low
436432,self_employed,5,secondary,0,permanent,low
111058,retired,3,secondary,1,temporary,low
5418,employed,10,secondary,0,temporary,high
47923,informal,7,postgraduate,1,temporary,medium
42192,informal,5,secondary,0,permanent,medium
63496,unemployed,3,secondary,0,rented,medium
144193,employed,5,none,0,temporary,medium
59267,self_employed,9,none,1,temporary,high
102390,unemployed,3,graduate,0,rented,medium
11249,self_employed,4,primary,1,rented,high
9872,informal,6,none,1,temporary,low
18576,informal,10,none,1,homeless,high
114277,self_employed,6,graduate,0,permanent,medium
461397,self_employed,4,secondary,0,rented,medium
412270,employed,4,secondary,0,homeless,low
89207,employed,7,graduate,0,rented,low
50752,employed,6,graduate,1,rented,medium
5340,retired,7,primary,0,temporary,high
112710,informal,3,primary,0,temporary,medium
30246,unemployed,7,primary,0,homeless,low
399871,employed,5,secondary,0,permanent,medium
23085,employed,7,none,1,homeless,medium
120828,employed,3,primary,0,permanent,low
83193,employed,6,graduate,1,homeless,high
50566,unemployed,6,primary,1,temporary,medium
115481,self_employed,5,secondary,1,permanent,high
117624,retired,4,graduate,0,homeless,medium
97469,self_employed,3,graduate,1,permanent,medium
71722,employed,4,graduate,1,temporary,low
92534,informal,6,secondary,1,permanent,low
123647,self_employed,3,graduate,1,permanent,medium
47272,informal,7,none,1,homeless,high
19549,informal,8,secondary,1,temporary,high
129070,informal,7,secondary,1,permanent,medium
145012,employed,3,graduate,0,rented,low
11397,employed,9,secondary,0,temporary,medium
27483,informal,9,none,1,rented,high
83383,informal,6,secondary,0,temporary,medium
43826,informal,4,secondary,0,temporary,high
51121,self_employed,4,secondary,1,rented,high
12468,unemployed,10,secondary,1,temporary,high
54972,employed,6,graduate,1,rented,medium
51108,informal,5,primary,0,temporary,medium
94819,informal,7,secondary,0,rented,medium
62706,informal,6,secondary,0,rented,medium
105024,employed,3,postgraduate,1,permanent,low
94477,informal,6,secondary,0,temporary,low
23012,unemployed,6,primary,1,rented,medium
54838,informal,5,graduate,1,permanent,low
52119,employed,5,none,0,homeless,medium
7112,employed,6,none,0,homeless,high
210036,self_employed,4,postgraduate,0,permanent,low
208497,self_employed,4,graduate,0,permanent,low
42534,unemployed,10,secondary,1,homeless,high
315794,self_employed,4,postgraduate,0,rented,medium
148590,employed,6,secondary,0,permanent,medium
123050,self_employed,3,secondary,1,rented,low
103968,employed,3,postgraduate,1,temporary,low
131395,employed,3,graduate,0,homeless,low
82318,self_employed,5,secondary,0,rented,low
499640,employed,2,postgraduate,1,temporary,low
34918,unemployed,7,primary,1,temporary,medium
22958,unemployed,6,primary,1,homeless,high
80043,informal,4,secondary,0,temporary,high
43907,unemployed,9,secondary,0,temporary,high
463872,employed,2,graduate,0,rented,medium
79223,unemployed,4,graduate,1,temporary,medium
61511,employed,4,graduate,0,permanent,medium
145449,self_employed,3,postgraduate,0,permanent,low
14163,unemployed,9,primary,1,rented,medium
462008,unemployed,4,graduate,0,permanent,medium
142734,self_employed,4,secondary,0,permanent,medium
41581,retired,5,primary,1,rented,medium
139972,employed,3,primary,0,permanent,high
56726,unemployed,6,secondary,1,permanent,medium
40164,informal,5,primary,1,rented,high
381222,employed,2,graduate,0,homeless,medium
33474,unemployed,8,secondary,1,rented,medium
51392,unemployed,4,primary,1,rented,medium
61884,employed,5,graduate,0,rented,medium
108662,unemployed,7,graduate,0,permanent,high
187493,employed,4,postgraduate,1,permanent,medium
40336,unemployed,3,secondary,0,permanent,high
118540,employed,5,graduate,0,rented,medium
399649,employed,2,graduate,1,homeless,low
35480,self_employed,10,none,1,rented,high
41949,self_employed,9,secondary,1,rented,high
202457,self_employed,3,secondary,1,temporary,low
130893,self_employed,5,primary,1,rented,medium
39721,retired,7,secondary,0,homeless,medium
20169,self_employed,8,secondary,1,rented,medium
106247,unemployed,6,primary,0,permanent,low
22104,self_employed,10,primary,1,temporary,high
18284,unemployed,10,secondary,0,temporary,high
110244,employed,4,secondary,0,rented,high
259496,self_employed,2,graduate,1,permanent,low
307746,employed,4,graduate,1,temporary,low
138052,informal,3,secondary,1,temporary,high
216543,employed,5,graduate,0,permanent,low
58264,unemployed,4,primary,1,homeless,high
273827,employed,5,secondary,1,permanent,low
90165,informal,4,secondary,1,permanent,medium
45246,informal,5,secondary,1,homeless,high
30101,unemployed,5,secondary,1,temporary,low
42559,retired,5,secondary,1,permanent,medium
22723,unemployed,6,secondary,0,homeless,high
347298,employed,3,none,0,permanent,medium
486431,employed,3,graduate,1,permanent,low
191075,employed,4,postgraduate,0,rented,high
114403,informal,7,postgraduate,1,rented,low
63010,employed,3,primary,1,temporary,medium
45247,unemployed,5,primary,0,homeless,medium
14680,informal,5,none,1,homeless,low
126787,employed,3,secondary,0,homeless,medium
123789,retired,5,secondary,1,rented,low
217040,self_employed,3,graduate,0,permanent,medium
51006,retired,7,none,1,rented,high
58005,retired,5,secondary,0,rented,high
27728,retired,5,secondary,1,homeless,medium
84007,employed,5,secondary,1,permanent,low
46310,employed,6,none,1,permanent,medium
53294,self_employed,7,graduate,1,temporary,high
254617,unemployed,4,postgraduate,0,permanent,medium
111702,self_employed,3,secondary,1,rented,medium
125673,employed,6,secondary,0,temporary,high
134638,self_employed,7,secondary,0,temporary,high
104349,employed,5,primary,0,rented,medium
52712,unemployed,4,graduate,1,permanent,high
346910,employed,4,secondary,0,permanent,low
98428,unemployed,6,secondary,0,permanent,high
449945,employed,4,postgraduate,0,rented,medium
30369,self_employed,7,none,1,homeless,high
24585,unemployed,10,graduate,1,homeless,medium
121300,unemployed,6,secondary,1,homeless,low
32746,unemployed,9,secondary,1,rented,medium
52651,retired,4,primary,1,rented,medium
41620,self_employed,7,graduate,1,temporary,high
116372,self_employed,3,postgraduate,0,temporary,medium
85071,self_employed,5,secondary,0,rented,high
14427,informal,9,secondary,0,homeless,high
53873,informal,6,none,0,homeless,high
37218,self_employed,9,primary,1,temporary,low
148242,employed,6,graduate,0,permanent,low
103499,self_employed,5,graduate,0,temporary,medium
57779,self_employed,7,postgraduate,0,temporary,low
230804,employed,2,postgraduate,0,permanent,low
123284,self_employed,3,secondary,0,permanent,low
112264,employed,4,graduate,0,rented,high
8253,unemployed,8,none,0,temporary,high
47702,employed,4,none,1,rented,high
16350,informal,4,primary,1,homeless,medium
76094,employed,6,postgraduate,0,temporary,medium
121737,employed,3,primary,1,homeless,low
117826,informal,5,graduate,0,permanent,medium
23145,unemployed,9,none,1,temporary,high
8720,self_employed,10,none,1,temporary,high
37595,retired,6,none,1,rented,high
199570,employed,3,postgraduate,0,permanent,low
79347,self_employed,7,secondary,0,temporary,medium
499988,self_employed,4,postgraduate,0,permanent,low
83426,employed,7,secondary,1,permanent,low
121350,unemployed,4,secondary,1,permanent,medium
14881,unemployed,5,primary,1,homeless,low
51902,unemployed,4,secondary,1,temporary,medium
22925,unemployed,10,primary,1,rented,medium
45270,employed,7,secondary,1,temporary,high
29451,retired,6,none,1,temporary,high
69657,informal,5,secondary,0,permanent,medium
7996,unemployed,6,secondary,1,rented,high
57536,employed,6,secondary,0,homeless,low
69939,employed,4,secondary,0,permanent,high
143825,unemployed,5,graduate,1,rented,high
59795,unemployed,9,primary,1,temporary,high
66934,informal,3,secondary,1,rented,medium
57978,employed,3,secondary,1,permanent,low
119823,employed,5,graduate,1,permanent,medium
40922,informal,5,secondary,1,temporary,high
12237,self_employed,9,secondary,1,homeless,high
73540,informal,6,none,0,permanent,high
7585,self_employed,6,none,1,rented,high
124059,unemployed,3,postgraduate,0,permanent,low
136084,unemployed,5,secondary,0,homeless,medium
102684,self_employed,4,primary,1,temporary,low
32264,retired,7,none,1,temporary,high
43777,self_employed,4,secondary,0,rented,medium
47924,unemployed,9,none,1,rented,medium
48898,self_employed,8,secondary,1,temporary,medium
27659,informal,9,primary,1,rented,low
47165,retired,8,none,1,homeless,high
71574,employed,5,primary,0,rented,medium
35087,employed,8,secondary,1,permanent,high
125638,unemployed,6,secondary,0,temporary,high
121142,informal,7,graduate,1,permanent,medium
216873,self_employed,4,graduate,0,permanent,low
54945,unemployed,4,primary,0,rented,low
89006,informal,3,postgraduate,0,rented,medium
73330,informal,4,primary,1,temporary,low
27146,unemployed,7,primary,1,rented,high
339802,self_employed,3,postgraduate,0,permanent,low
116692,employed,7,graduate,1,rented,high
154292,employed,4,graduate,0,homeless,low
243443,employed,4,none,0,permanent,low
138097,informal,7,postgraduate,1,homeless,medium
45905,informal,9,primary,1,homeless,medium
364185,employed,4,postgraduate,0,permanent,low
472309,employed,4,postgraduate,0,temporary,medium
46955,informal,4,secondary,1,homeless,medium
9065,informal,6,primary,1,temporary,high
128542,informal,4,graduate,0,temporary,low
250805,self_employed,2,postgraduate,0,homeless,low
41184,unemployed,9,primary,1,homeless,medium
432287,self_employed,4,postgraduate,0,permanent,low
254233,employed,2,graduate,0,permanent,medium
112954,employed,4,graduate,0,permanent,medium
15073,retired,8,primary,1,rented,medium
115061,informal,3,graduate,0,temporary,high
38104,unemployed,8,secondary,0,temporary,high
28645,unemployed,10,secondary,1,rented,medium
55036,informal,6,secondary,1,homeless,high
26032,unemployed,10,none,1,rented,high
296586,employed,5,graduate,0,permanent,medium
11288,unemployed,10,secondary,0,temporary,medium
459349,employed,2,graduate,1,rented,low
147053,self_employed,4,primary,1,temporary,high
21509,informal,8,none,1,permanent,high
81471,unemployed,3,secondary,1,rented,low
131866,self_employed,5,postgraduate,0,rented,medium
55153,retired,7,primary,1,rented,high
30624,self_employed,10,secondary,1,temporary,medium
482376,self_employed,2,graduate,0,permanent,high
110405,informal,3,secondary,1,homeless,medium
124663,self_employed,4,secondary,0,rented,high
57406,informal,4,none,1,homeless,high
78096,informal,5,primary,1,permanent,medium
47957,unemployed,6,secondary,1,temporary,high
80065,informal,4,graduate,0,permanent,medium
21133,self_employed,9,graduate,1,homeless,high
102908,employed,5,graduate,0,temporary,medium
23390,self_employed,5,none,0,rented,medium
42441,self_employed,3,graduate,0,rented,high
22079,informal,8,secondary,1,temporary,high
484422,self_employed,3,graduate,0,permanent,low
145714,retired,4,graduate,0,temporary,medium
59162,informal,6,postgraduate,0,rented,high
20336,unemployed,5,secondary,1,temporary,low
120921,retired,4,secondary,1,permanent,medium
115842,informal,4,secondary,0,rented,low
21487,unemployed,5,secondary,1,homeless,high
119195,unemployed,4,secondary,0,permanent,medium
15312,unemployed,9,none,1,permanent,high
49251,informal,5,secondary,1,permanent,high
43820,unemployed,9,secondary,1,temporary,high
370868,retired,2,postgraduate,0,rented,low
44749,retired,10,secondary,0,permanent,high
140596,employed,7,secondary,1,permanent,medium
70122,employed,4,primary,0,rented,medium
59603,informal,4,secondary,1,temporary,low
55403,unemployed,4,postgraduate,0,temporary,low
96557,informal,5,postgraduate,1,permanent,low
140751,employed,7,graduate,1,rented,medium
73360,employed,4,postgraduate,0,rented,medium
5358,informal,10,primary,1,rented,high
57709,unemployed,6,primary,1,rented,high
114012,employed,5,none,0,temporary,medium
63425,employed,7,secondary,1,rented,low
58096,self_employed,3,graduate,0,rented,high
31251,self_employed,10,secondary,1,rented,high
102773,self_employed,3,graduate,0,permanent,medium
119826,unemployed,6,postgraduate,0,rented,medium
130127,retired,3,postgraduate,0,permanent,low
249949,employed,3,graduate,0,permanent,low
145530,retired,5,graduate,0,permanent,low
48993,self_employed,7,secondary,1,homeless,medium
244969,employed,3,graduate,0,temporary,medium
113220,unemployed,5,secondary,0,permanent,medium
143991,informal,6,none,0,rented,low
340568,self_employed,2,graduate,0,permanent,low
50952,unemployed,6,secondary,1,rented,medium
23827,unemployed,9,graduate,1,rented,high
19323,self_employed,6,primary,1,homeless,high
70783,informal,5,secondary,0,temporary,medium
11991,unemployed,4,secondary,1,rented,medium
45539,self_employed,5,graduate,0,homeless,low
357323,employed,4,graduate,0,permanent,low
110879,unemployed,5,secondary,1,temporary,low
100302,employed,3,primary,0,rented,medium
74039,employed,5,secondary,0,rented,medium
67594,employed,5,secondary,0,permanent,medium
459667,employed,2,postgraduate,1,permanent,low
57431,retired,5,secondary,0,permanent,high
430643,employed,4,postgraduate,0,permanent,low
130510,employed,4,graduate,0,rented,medium
28656,unemployed,8,none,0,temporary,high
417496,employed,3,none,0,permanent,low
334320,self_employed,5,graduate,0,homeless,low
84222,employed,7,graduate,1,temporary,high
25766,informal,9,primary,1,temporary,high
290402,self_employed,5,graduate,0,temporary,low
137501,informal,3,secondary,0,temporary,low
47055,unemployed,6,secondary,1,temporary,medium
30548,unemployed,5,graduate,1,temporary,high
7303,informal,10,none,1,rented,medium
387595,employed,3,graduate,0,permanent,low
123858,informal,5,postgraduate,0,temporary,high
32014,unemployed,6,primary,1,homeless,high
40068,unemployed,7,none,1,temporary,high
20152,self_employed,8,primary,1,rented,high
53307,informal,10,primary,0,permanent,high
421501,self_employed,4,graduate,0,rented,low
195633,employed,2,postgraduate,0,permanent,low
6271,unemployed,8,primary,1,temporary,high
41075,employed,4,primary,0,permanent,low
88679,employed,3,secondary,1,homeless,high
137426,employed,3,graduate,1,rented,low
55341,informal,7,none,1,rented,high
141055,unemployed,4,secondary,1,permanent,medium
45529,informal,7,secondary,0,rented,high
449540,employed,2,graduate,0,temporary,low
91879,self_employed,3,none,0,rented,medium
55514,unemployed,5,secondary,1,temporary,low
131484,employed,3,postgraduate,0,permanent,medium
437980,self_employed,5,postgraduate,0,permanent,low
7587,informal,7,secondary,1,rented,high
82425,informal,5,postgraduate,0,rented,high
98901,employed,5,secondary,0,rented,medium
42453,informal,5,graduate,0,rented,medium
90789,employed,6,graduate,0,permanent,medium
11308,informal,4,primary,1,temporary,high
17557,unemployed,8,secondary,1,rented,medium
46433,employed,7,graduate,0,homeless,medium
141920,employed,2,graduate,0,rented,low
130566,self_employed,4,graduate,0,rented,high
39044,unemployed,9,primary,1,temporary,medium
63448,informal,7,secondary,0,rented,medium
127194,employed,3,secondary,0,permanent,medium
44316,employed,6,none,1,homeless,medium
123000,employed,5,graduate,0,temporary,low
233215,employed,5,graduate,0,permanent,low
107844,unemployed,5,primary,1,temporary,medium
461611,self_employed,3,secondary,0,permanent,medium
230996,employed,4,secondary,0,rented,low
143927,employed,6,graduate,1,rented,low
79373,unemployed,7,secondary,1,homeless,medium
327700,employed,2,postgraduate,0,permanent,low
55948,informal,4,primary,0,rented,high
68940,employed,6,none,1,rented,high
143070,employed,4,secondary,0,rented,medium
31117,informal,10,secondary,1,rented,high
114885,employed,7,none,0,temporary,medium
129749,self_employed,3,primary,0,permanent,high
47952,unemployed,6,primary,1,homeless,medium
97732,unemployed,4,secondary,0,rented,low
8574,unemployed,8,none,1,homeless,high
54585,employed,6,primary,0,permanent,high
73902,informal,7,graduate,0,rented,high
126969,informal,5,secondary,0,rented,medium
47910,retired,4,primary,0,homeless,medium
110002,employed,5,graduate,0,homeless,high
44131,informal,5,primary,1,rented,medium
39695,unemployed,7,primary,0,temporary,high
70959,retired,7,secondary,0,permanent,medium
115448,retired,4,graduate,0,permanent,medium
108251,retired,7,postgraduate,1,permanent,medium
80944,self_employed,5,secondary,0,rented,medium
66517,self_employed,5,graduate,1,homeless,medium
176101,self_employed,3,graduate,0,rented,medium
14536,informal,10,primary,1,homeless,high
147701,self_employed,5,secondary,0,temporary,high
423457,employed,3,graduate,0,temporary,high
170300,employed,5,postgraduate,0,rented,low
17665,unemployed,7,none,0,temporary,high
66585,self_employed,3,secondary,1,permanent,medium
99971,self_employed,6,secondary,0,rented,medium
45075,retired,8,secondary,1,homeless,medium
99193,employed,3,postgraduate,0,permanent,low
30388,informal,9,none,0,permanent,medium
249901,employed,5,graduate,1,permanent,low
124685,employed,7,primary,1,homeless,medium
32103,unemployed,4,primary,1,rented,high
72778,employed,4,graduate,0,temporary,medium
108657,informal,7,graduate,0,rented,high
26967,informal,9,none,0,temporary,medium
25189,unemployed,10,none,0,temporary,medium
101852,informal,4,primary,0,permanent,low
104679,employed,7,graduate,0,permanent,medium
40870,unemployed,9,secondary,1,temporary,high
44813,unemployed,3,graduate,1,permanent,low
